agent_id,lat,lon,zf,secteur,couronne,insee,commune,couronne_metrique
1001282,43.56712904494182,1.403571032160808,129104000,129,Toulouse,31555,Toulouse,Toulouse
1001283,43.56712904494182,1.403571032160808,129104000,129,Toulouse,31555,Toulouse,Toulouse
1001284,43.56712904494182,1.403571032160808,129104000,129,Toulouse,31555,Toulouse,Toulouse
1001285,43.56712904494182,1.403571032160808,129104000,129,Toulouse,31555,Toulouse,Toulouse
1004220,43.611217010504994,1.4511610565576927,104101000,104,Toulouse,31555,Toulouse,Toulouse
1005939,43.61921798007225,1.4008924120006456,118102000,118,Toulouse,31555,Toulouse,Toulouse
1009651,43.61411400517284,1.4629550574247447,110106000,110,Toulouse,31555,Toulouse,Toulouse
1009652,43.61411400517284,1.4629550574247447,110106000,110,Toulouse,31555,Toulouse,Toulouse
1009653,43.61411400517284,1.4629550574247447,110106000,110,Toulouse,31555,Toulouse,Toulouse
1009654,43.61411400517284,1.4629550574247447,110106000,110,Toulouse,31555,Toulouse,Toulouse
1010555,43.600242040804574,1.4483219601760755,101103000,101,Toulouse,31555,Toulouse,Toulouse
1012659,43.56429310523756,1.504157532369866,125105000,125,Toulouse,31555,Toulouse,Toulouse
1012660,43.56429310523756,1.504157532369866,125105000,125,Toulouse,31555,Toulouse,Toulouse
1013010,43.61427487669583,1.4254758735507982,108104000,108,Toulouse,31555,Toulouse,Toulouse
1013011,43.61427487669583,1.4254758735507982,108104000,108,Toulouse,31555,Toulouse,Toulouse
1013132,43.598525044741116,1.434971033917656,107105000,107,Toulouse,31555,Toulouse,Toulouse
1016627,43.57975411519682,1.3805137799306477,131106000,131,Toulouse,31555,Toulouse,Toulouse
1016628,43.57975411519682,1.3805137799306477,131106000,131,Toulouse,31555,Toulouse,Toulouse
1016630,43.57975411519682,1.3805137799306477,131106000,131,Toulouse,31555,Toulouse,Toulouse
1017588,43.57437446002998,1.474699245342211,126102000,126,Toulouse,31555,Toulouse,Toulouse
1017589,43.57437446002998,1.474699245342211,126102000,126,Toulouse,31555,Toulouse,Toulouse
1017590,43.57437446002998,1.474699245342211,126102000,126,Toulouse,31555,Toulouse,Toulouse
1017591,43.57437446002998,1.474699245342211,126102000,126,Toulouse,31555,Toulouse,Toulouse
1029832,43.61818596401901,1.3995079922792404,118102000,118,Toulouse,31555,Toulouse,Toulouse
1030432,43.6015162816385,1.3716442769811292,132105000,132,Toulouse,31555,Toulouse,Toulouse
1030433,43.6015162816385,1.3716442769811292,132105000,132,Toulouse,31555,Toulouse,Toulouse
1030434,43.6015162816385,1.3716442769811292,132105000,132,Toulouse,31555,Toulouse,Toulouse
1030435,43.6015162816385,1.3716442769811292,132105000,132,Toulouse,31555,Toulouse,Toulouse
1030436,43.6015162816385,1.3716442769811292,132105000,132,Toulouse,31555,Toulouse,Toulouse
1030953,43.6143390282408,1.4611009751809438,110104000,110,Toulouse,31555,Toulouse,Toulouse
1030954,43.6143390282408,1.4611009751809438,110104000,110,Toulouse,31555,Toulouse,Toulouse
1032010,43.57433300912486,1.4583810234236052,113107000,113,Toulouse,31555,Toulouse,Toulouse
1032011,43.57433300912486,1.4583810234236052,113107000,113,Toulouse,31555,Toulouse,Toulouse
1032894,43.57866333101725,1.4135678016691446,115108000,115,Toulouse,31555,Toulouse,Toulouse
1032895,43.57866333101725,1.4135678016691446,115108000,115,Toulouse,31555,Toulouse,Toulouse
1032896,43.57866333101725,1.4135678016691446,115108000,115,Toulouse,31555,Toulouse,Toulouse
1032897,43.57866333101725,1.4135678016691446,115108000,115,Toulouse,31555,Toulouse,Toulouse
1034408,43.56664198699716,1.4649738812222688,127105000,127,Toulouse,31555,Toulouse,Toulouse
1035218,43.613640566215224,1.3958724286778614,118101000,118,Toulouse,31555,Toulouse,Toulouse
1037209,43.597019031851744,1.4256870159337094,107103000,107,Toulouse,31555,Toulouse,Toulouse
1041119,43.57136395735215,1.450225029094824,127103000,127,Toulouse,31555,Toulouse,Toulouse
1041120,43.57136395735215,1.450225029094824,127103000,127,Toulouse,31555,Toulouse,Toulouse
1041121,43.57136395735215,1.450225029094824,127103000,127,Toulouse,31555,Toulouse,Toulouse
1041122,43.57136395735215,1.450225029094824,127103000,127,Toulouse,31555,Toulouse,Toulouse
1041123,43.57136395735215,1.450225029094824,127103000,127,Toulouse,31555,Toulouse,Toulouse
1041539,43.58307997605714,1.409883020876338,115104000,115,Toulouse,31555,Toulouse,Toulouse
1047275,43.607381996905346,1.4771049515182584,124103000,124,Toulouse,31555,Toulouse,Toulouse
1047277,43.607381996905346,1.4771049515182584,124103000,124,Toulouse,31555,Toulouse,Toulouse
1049535,43.609452034155126,1.4503399964385824,104102000,104,Toulouse,31555,Toulouse,Toulouse
1049727,43.573141029451364,1.4565309433102265,113104000,113,Toulouse,31555,Toulouse,Toulouse
1049728,43.573141029451364,1.4565309433102265,113104000,113,Toulouse,31555,Toulouse,Toulouse
1051020,43.60298697798955,1.4427389431266355,102105000,102,Toulouse,31555,Toulouse,Toulouse
1052373,43.58032751366234,1.4568825769919715,113106000,113,Toulouse,31555,Toulouse,Toulouse
1053065,43.62393503647079,1.4586600275706916,110101000,110,Toulouse,31555,Toulouse,Toulouse
1053066,43.62393503647079,1.4586600275706916,110101000,110,Toulouse,31555,Toulouse,Toulouse
1053067,43.62393503647079,1.4586600275706916,110101000,110,Toulouse,31555,Toulouse,Toulouse
1053764,43.55411598212756,1.4573927433429565,127107000,127,Toulouse,31555,Toulouse,Toulouse
1054254,43.5564005310432,1.467080254255214,127105000,127,Toulouse,31555,Toulouse,Toulouse
1058598,43.60450499655112,1.4400349798674152,102106000,102,Toulouse,31555,Toulouse,Toulouse
1060318,43.588949979255524,1.4235569650297413,107107000,107,Toulouse,31555,Toulouse,Toulouse
1060923,43.57573100491524,1.462768060870563,113108000,113,Toulouse,31555,Toulouse,Toulouse
1062993,43.58719044972073,1.466225565186197,112102000,112,Toulouse,31555,Toulouse,Toulouse
1062994,43.58719044972073,1.466225565186197,112102000,112,Toulouse,31555,Toulouse,Toulouse
