route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20261026,105241,0,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1739:20260713,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1738:20260827,105342,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20261025,105342,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20261026,105347,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20261026,105350,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1118:20260513,105362,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1049:20260520,105362,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20261007,105362,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20261026,105362,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20260513,105375,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1021:20261009,105375,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20261026,105375,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1335:20260513,105377,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1328:20260518,105377,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1327:20261026,105377,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1611:20260508,105378,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1609:20261026,105378,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN105431F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:734:20261025,105431,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:909:20260513,105432,1,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:909:20260520,105432,1,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:907:20261007,105432,1,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:915:20260501,105432,1,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:916:20261024,105432,1,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:911:20261025,105432,1,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:913:20261026,105432,1,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1146:20260513,105437,1,27,
